date,time_et,bowl_name,team1,team2,tv_channel,location
Dec 26,1:00 PM,GameAbove Sports Bowl,Central Michigan,Northwestern,ESPN,Detroit MI
Dec 26,4:30 PM,Rate Bowl,New Mexico,Minnesota,ESPN,Phoenix AZ
Dec 26,8:00 PM,First Responder Bowl,FIU,UTSA,ESPN,Dallas TX
Dec 27,11:00 AM,Military Bowl,Pitt,East Carolina,ESPN,Annapolis MD
Dec 27,12:00 PM,Pinstripe Bowl,Penn State,Clemson,ABC,Bronx NY
Dec 27,2:15 PM,Fenway Bowl,UConn,Army,ESPN,Boston MA
Dec 27,3:30 PM,Pop-Tarts Bowl,BYU,Georgia Tech,ABC,Orlando FL
Dec 27,4:30 PM,Arizona Bowl,Miami (OH),Fresno State,CW,Tucson AZ
Dec 27,5:45 PM,New Mexico Bowl,North Texas,San Diego State,ESPN,Albuquerque NM
Dec 27,7:30 PM,Gator Bowl,Missouri,Virginia,ABC,Jacksonville FL
Dec 27,9:15 PM,Texas Bowl,LSU,Houston,ESPN,Houston TX
Dec 29,2:00 PM,Birmingham Bowl,Georgia Southern,App State,ESPN,Birmingham AL
Dec 30,2:00 PM,Independence Bowl,Coastal Carolina,Louisiana Tech,ESPN,Shreveport LA
Dec 30,5:30 PM,Music City Bowl,Tennessee,Illinois,ESPN,Nashville TN
Dec 30,9:00 PM,Alamo Bowl,USC,TCU,ESPN,San Antonio TX
Dec 31,12:00 PM,ReliaQuest Bowl,Iowa,Vanderbilt,ESPN,Tampa FL
Dec 31,2:00 PM,Sun Bowl,Arizona State,Duke,CBS,El Paso TX
Dec 31,3:00 PM,Citrus Bowl,Texas,Michigan,ABC,Orlando FL
Dec 31,3:30 PM,Las Vegas Bowl,Nebraska,Utah,ESPN,Las Vegas NV
Dec 31,7:30 PM,CFP Quarterfinal - Cotton Bowl,Ohio State,Miami,ESPN,Arlington TX
Jan 1,12:00 PM,CFP Quarterfinal - Orange Bowl,Texas Tech,Oregon,ESPN,Miami Gardens FL
Jan 1,4:00 PM,CFP Quarterfinal - Rose Bowl,Indiana,Alabama,ESPN,Pasadena CA
Jan 1,8:00 PM,CFP Quarterfinal - Sugar Bowl,Georgia,Ole Miss,ESPN,New Orleans LA
Jan 2,1:00 PM,Armed Forces Bowl,Texas State,Rice,ESPN,Fort Worth TX
Jan 2,4:30 PM,Liberty Bowl,Navy,Cincinnati,ESPN,Memphis TN
Jan 2,8:00 PM,Duke's Mayo Bowl,Mississippi State,Wake Forest,ESPN,Charlotte NC
Jan 2,8:00 PM,Holiday Bowl,Arizona,SMU,FOX,San Diego CA
